CLUSTER_ID,N_TRAJECTORIES,N_USERS,AVG_POINTS,AVG_CELLS,START_CELL,END_CELL
1102,1,1,936.0,35.0,15541:474,15532:468
838,1,1,1416.0,33.0,15542:483,15535:491
843,1,1,2066.0,33.0,15539:492,15534:489
1025,1,1,1668.0,33.0,15516:493,15531:484
1040,1,1,1498.0,33.0,15538:498,15560:499
28,1,1,2045.0,32.0,15538:495,15529:506
355,1,1,1495.0,32.0,15537:490,15540:497
773,1,1,505.0,32.0,15554:502,15544:484
906,1,1,717.0,31.0,15550:491,15530:491
980,1,1,975.0,31.0,15538:481,15537:479
148,1,1,1078.0,30.0,15539:510,15540:510
178,1,1,1940.0,30.0,15523:497,15542:482
1023,1,1,1432.0,30.0,15531:484,15516:493
601,1,1,487.0,29.0,15549:481,15562:490
869,1,1,2823.0,29.0,15531:484,15532:484
1032,1,1,981.0,29.0,15531:487,15550:496
1039,1,1,1596.0,29.0,15542:496,15536:482
1056,1,1,3535.0,29.0,15519:499,15533:478
164,1,1,3082.0,28.0,15536:504,15536:504
248,1,1,806.0,28.0,15528:489,15527:501
1076,1,1,950.0,28.0,15557:493,15547:485
186,1,1,688.0,27.0,15528:505,15541:502
384,1,1,852.0,27.0,15523:514,15537:495
1027,1,1,1145.0,27.0,15536:480,15550:496
1132,1,1,592.0,27.0,15543:488,15525:494
318,1,1,749.0,26.0,15535:481,15534:482
979,1,1,961.0,26.0,15536:490,15539:485
981,1,1,858.0,26.0,15546:481,15537:470
602,1,1,467.0,25.0,15562:490,15551:498
1051,1,1,1365.0,25.0,15531:479,15544:479
44,1,1,704.0,24.0,15526:487,15542:481
661,1,1,473.0,24.0,15543:491,15555:486
1115,1,1,1841.0,24.0,15531:490,15538:491
1226,1,1,1767.0,24.0,15543:496,15531:498
106,1,1,867.0,23.0,15534:474,15533:468
168,1,1,1053.0,23.0,15548:484,15521:510
198,1,1,758.0,23.0,15539:502,15534:486
332,1,1,753.0,23.0,15530:491,15529:493
482,1,1,525.0,23.0,15544:483,15553:471
499,1,1,784.0,23.0,15547:497,15535:497
697,1,1,1082.0,23.0,15539:482,15538:483
706,1,1,1085.0,23.0,15534:502,15543:464
788,1,1,812.0,23.0,15526:478,15536:480
1100,1,1,820.0,23.0,15547:487,15536:493
1113,1,1,402.0,23.0,15531:470,15545:467
1217,1,1,1036.0,23.0,15537:501,15531:499
38,1,1,2392.0,22.0,15539:492,15537:496
386,1,1,963.0,22.0,15523:514,15524:514
514,1,1,742.0,22.0,15548:488,15543:486
526,1,1,421.0,22.0,15528:499,15542:497
1075,1,1,578.0,22.0,15551:484,15558:494
1103,1,1,385.0,22.0,15532:468,15541:474
1105,1,1,672.0,22.0,15536:492,15534:481
1152,1,1,351.0,22.0,15525:476,15531:495
39,1,1,862.0,21.0,15539:491,15536:501
211,1,1,555.0,21.0,15530:496,15541:503
612,1,1,520.0,21.0,15545:484,15528:494
860,1,1,1498.0,21.0,15550:491,15531:488
1018,1,1,1364.0,21.0,15532:484,15532:484
1041,1,1,976.0,21.0,15538:498,15548:502
12,1,1,493.0,20.0,15529:473,15528:481
26,1,1,598.0,20.0,15546:479,15540:491
97,1,1,619.0,20.0,15551:508,15558:505
242,1,1,661.0,20.0,15551:488,15541:493
340,1,1,683.0,20.0,15550:515,15550:515
967,1,1,905.0,20.0,15525:492,15530:489
1000,1,1,905.0,20.0,15540:497,15539:486
1142,1,1,338.0,20.0,15542:438,15552:438
143,1,1,629.0,19.0,15528:489,15520:494
401,1,1,521.0,19.0,15547:476,15554:477
468,1,1,1385.0,19.0,15536:489,15529:489
541,1,1,696.0,19.0,15536:500,15545:502
641,1,1,1198.0,19.0,15545:475,15547:482
772,1,1,440.0,19.0,15543:484,15550:476
985,1,1,674.0,19.0,15537:490,15538:501
1043,1,1,1108.0,19.0,15526:487,15521:476
4,1,1,911.0,18.0,15534:481,15534:481
259,1,1,1142.0,18.0,15531:497,15537:486
463,1,1,578.0,18.0,15535:471,15534:481
738,1,1,1681.0,18.0,15544:493,15544:493
750,1,1,3165.0,18.0,15539:498,15527:493
52,1,1,711.0,17.0,15543:481,15542:480
94,1,1,359.0,17.0,15562:477,15565:483
234,1,1,1708.0,17.0,15549:493,15529:494
932,1,1,726.0,17.0,15557:495,15526:486
1003,1,1,1262.0,17.0,15540:496,15540:495
1098,1,1,428.0,17.0,15534:481,15541:476
132,1,1,286.0,16.0,15559:492,15550:493
182,1,1,770.0,16.0,15545:488,15547:496
213,1,1,542.0,16.0,15544:478,15534:475
603,1,1,110.0,16.0,15546:520,15546:521
719,1,1,441.0,16.0,15530:467,15527:470
880,1,1,647.0,16.0,15536:493,15536:504
986,1,1,855.0,16.0,15538:501,15544:494
1137,1,1,714.0,16.0,15543:494,15547:485
40,1,1,48.0,15.0,15539:502,15508:502
597,1,1,775.0,15.0,15543:481,15541:489
632,1,1,479.0,15.0,15536:492,15547:500
756,1,1,446.0,15.0,15564:474,15551:484
813,1,1,273.0,15.0,15544:465,15537:463
916,1,1,531.0,15.0,15550:489,15545:497
1055,1,1,528.0,15.0,15543:486,15540:489
1068,1,1,654.0,15.0,15557:487,15548:491
1106,1,1,389.0,15.0,15535:468,15535:468
1195,1,1,289.0,15.0,15535:504,15551:466
175,1,1,405.0,14.0,15547:484,15540:479
431,1,1,350.0,14.0,15542:502,15545:509
539,1,1,497.0,14.0,15552:490,15549:490
1191,1,1,940.0,14.0,15542:498,15531:485
154,1,1,85.0,13.0,15530:493,15529:493
509,1,1,902.0,13.0,15544:501,15545:501
637,1,1,1146.0,13.0,15535:478,15543:488
830,1,1,109.0,13.0,15534:489,15550:463
863,1,1,989.0,13.0,15545:501,15527:489
956,1,1,682.0,13.0,15554:477,15554:477
1007,1,1,191.0,13.0,15529:475,15528:474
1196,1,1,659.0,13.0,15551:465,15535:504
59,1,1,1265.0,12.0,15537:492,15545:478
98,1,1,258.0,12.0,15552:488,15553:491
110,1,1,207.0,12.0,15543:492,15544:491
112,1,1,184.0,12.0,15530:497,15529:496
144,1,1,286.0,12.0,15530:493,15540:492
179,1,1,720.0,12.0,15541:481,15548:481
215,1,1,466.0,12.0,15539:482,15542:489
375,1,1,159.0,12.0,15535:497,15537:496
461,1,1,662.0,12.0,15539:492,15535:480
548,1,1,178.0,12.0,15545:486,15554:474
676,1,1,881.0,12.0,15528:486,15528:486
745,1,1,1003.0,12.0,15542:476,15542:476
1049,1,1,649.0,12.0,15541:488,15544:479
1066,1,1,354.0,12.0,15549:488,15542:491
96,1,1,444.0,11.0,15554:491,15549:479
142,1,1,527.0,11.0,15533:489,15545:495
319,1,1,226.0,11.0,15543:486,15534:481
434,1,1,268.0,11.0,15544:487,15554:483
593,1,1,206.0,11.0,15545:480,15541:473
770,1,1,405.0,11.0,15543:484,15554:502
808,1,1,554.0,11.0,15525:493,15543:491
811,1,1,206.0,11.0,15541:492,15531:488
1228,1,1,816.0,11.0,15525:485,15529:481
64,1,1,590.0,10.0,15539:492,15551:485
195,1,1,672.0,10.0,15539:501,15540:480
377,1,1,111.0,10.0,15534:496,15547:495
610,1,1,346.0,10.0,15544:483,15544:484
653,1,1,276.0,10.0,15543:481,15525:505
659,1,1,272.0,10.0,15544:483,15551:465
747,1,1,647.0,10.0,15540:477,15532:480
